wvl_nm	xsec_220K	a(T)
901	1.02258E-22	0
902	9.01368E-23	0
903	7.99500E-23	0
904	7.18294E-23	0
905	6.30349E-23	0
906	6.14141E-23	0
907	6.18922E-23	0
908	6.11075E-23	0
909	6.16871E-23	0
910	6.04594E-23	0
911	5.98954E-23	0
912	5.99563E-23	0
913	5.82980E-23	0
914	6.32455E-23	0
915	6.02293E-23	0
916	5.33153E-23	0
917	5.18560E-23	0
918	5.02726E-23	0
919	4.98771E-23	0
920	5.00939E-23	0
921	4.88194E-23	0
922	4.86533E-23	0
923	4.87734E-23	0
924	4.74193E-23	0
925	4.67337E-23	0
926	4.59560E-23	0
